user,qid,images,pid,context,n_main,percent,comment,outer_link,code_id,news,picture_number,keyword,biggest,typing,like,share
U12,4,1653883933000-2022-05-30-12-12-13-9-Facebook.jpg,0,"曾到?修
RNG:紅方有辦法突破即劣勢但我們沒法
請回覆
李?字bp沒裂就是選手裂開==7分鐘體回覆
",2,0.25215488199999997,1,0,6,0,19,0,1,0,0,0
U12,4,1653883933000-2022-05-30-12-12-13-9-Facebook.jpg,1,"李?字T1就是自己親則太多次了打通麼,
LaiAnson加油RNG,下年MSI再見2分鐘讚回覆
KaiJhan所以RNG也是運氣好,多一期藍方8分鐘鼓回覆
20
蔡??T1
居然?了好气唯15分鐘說回電
新期?會書豪自己紅方也是輪,在那邊喊9分鐘,體回覆16
",2,0.48784511799999997,1,0,6,0,19,0,1,0,0,0
U12,4,1653883934000-2022-05-30-12-12-14-9-Facebook.jpg,0,"建立詩歌
YanRuTsol
",0,0.135151515,0,0,6,0,20,0,0,0,0,0
U12,4,1653883934000-2022-05-30-12-12-14-9-Facebook.jpg,1,"遊戲大亂鬥
|11分鐘前RNG:紅方有法突破BP劣勢
#MS12022#RNG#5199#28
Hot
MSI2022總冠軍RNG專訪團」
league-funny.com
【MSI2022]RNG聯訪:紅方有辦法突破P劣勢,雖然最後都沒有真|英雄?盟
058
則留言
心道
?分享
",0,0.604848485,0,0,7,0,20,0,1,0,0,0
U12,4,1653883935000-2022-05-30-12-12-15-9-Facebook.jpg,0,"建立限時動態
如果答
YanRuTsai
",0,0.0703367,0,0,8,0,21,0,0,0,0,0
U12,4,1653883935000-2022-05-30-12-12-15-9-Facebook.jpg,1,"X
遊戲大亂鬥中11分鐘前·
ENG:紅方有辦法突破BP劣勢
MS12022#RNG#訪問#命中注定投稿
Hot
MSI2022總冠軍RNG訪!」
league-funny.com
【MSI2022]RNG聯訪:紅方有新法突破BP劣勢,雖然最後都沒有處|英雄聯盟
心站
留言
?分享
",0,0.625420875,0,0,3,0,21,0,1,0,0,0
U12,4,1653883935000-2022-05-30-12-12-15-9-Facebook.jpg,2,"-
X
(0)Yahool奇摩新聞
",0,0.044242424,0,0,9,0,21,0,0,0,0,0
U12,4,1653883936000-2022-05-30-12-12-16-9-Facebook.jpg,0,"058
9則留言
前言
X
(0)Yahoo!奇摩新聞
25分鐘前,
日前二審才敗訴,真的是意外的驚喜!
#蘇打綠#YENT
tw.news.yahoo.com
?青峰拿回「蘇打綠」了!林暐哲突宣布放棄商標權,厚原因;該放下了
1,160
63則留言,12次分享
心道
前言
",0,0.74,0,0,10,1,22,Yahoo!奇摩,1,0,0,0
U12,4,1653883937000-2022-05-30-12-12-17-9-Facebook.jpg,0,"058
留言
",0,0.12673400699999998,0,0,10,0,23,0,0,0,0,0
U12,4,1653883937000-2022-05-30-12-12-17-9-Facebook.jpg,1,"X
Yahoo!奇摩新聞
25分鐘前日前二番才收訴,真的是意外的驚喜!
甚蘇打綠#YEMT
tw.news.yahoo.com吳青峰拿回「蘇打綠」了!林暐哲突宣布放?商標權,厚原因:該放下了
1,160
|63|留言·12次分享
",0,0.613265993,0,0,10,1,23,Yahoo!奇摩,1,0,0,0
